,Concentration,Sensor,Alcohol,Readings
0,0.2,0.5,1-Octanol,-10.06
1,0.2,0.5,1-Octanol,-10.62
2,0.3,0.5,1-Octanol,-14.43
3,0.3,0.5,1-Octanol,-18.31
4,0.4,0.5,1-Octanol,-24.64
5,0.4,0.5,1-Octanol,-30.56
6,0.5,0.5,1-Octanol,-38.62
7,0.5,0.5,1-Octanol,-45.59
8,0.6,0.5,1-Octanol,-54.89
9,0.6,0.5,1-Octanol,-62.28
10,0.2,0.5,1-Octanol,-9.69
11,0.2,0.5,1-Octanol,-10.86
12,0.3,0.5,1-Octanol,-16.73
13,0.3,0.5,1-Octanol,-21.75
14,0.4,0.5,1-Octanol,-28.47
15,0.4,0.5,1-Octanol,-35.83
16,0.5,0.5,1-Octanol,-43.65
17,0.5,0.5,1-Octanol,-52.43
18,0.6,0.5,1-Octanol,-61.92
19,0.6,0.5,1-Octanol,-71.27
20,0.2,0.5,1-Octanol,-12.07
21,0.2,0.5,1-Octanol,-14.28
22,0.3,0.5,1-Octanol,-21.54
23,0.3,0.5,1-Octanol,-27.92
24,0.4,0.5,1-Octanol,-35.19
25,0.4,0.5,1-Octanol,-43.94
26,0.5,0.5,1-Octanol,-52.04
27,0.5,0.5,1-Octanol,-62.49
28,0.6,0.5,1-Octanol,-71.97
29,0.6,0.5,1-Octanol,-83.1
30,0.2,0.5,1-Octanol,-14.21
31,0.2,0.5,1-Octanol,-17.41
32,0.3,0.5,1-Octanol,-25.91
33,0.3,0.5,1-Octanol,-33.36
34,0.4,0.5,1-Octanol,-41.29
35,0.4,0.5,1-Octanol,-51.27
36,0.5,0.5,1-Octanol,-59.94
37,0.5,0.5,1-Octanol,-71.55
38,0.6,0.5,1-Octanol,-81.51
39,0.6,0.5,1-Octanol,-93.83
40,0.2,0.5,1-Octanol,-16.57
41,0.2,0.5,1-Octanol,-20.35
42,0.3,0.5,1-Octanol,-29.97
43,0.3,0.5,1-Octanol,-37.84
44,0.4,0.5,1-Octanol,-47.03
45,0.4,0.5,1-Octanol,-57.29
46,0.5,0.5,1-Octanol,-67.13
47,0.5,0.5,1-Octanol,-78.96
48,0.6,0.5,1-Octanol,-90.01
49,0.6,0.5,1-Octanol,-102.65
50,0.2,0.5,1-Propanol,-75.61
51,0.2,0.5,1-Propanol,-64.1
52,0.3,0.5,1-Propanol,-122.08
53,0.3,0.5,1-Propanol,-102.17
54,0.4,0.5,1-Propanol,-174.79
55,0.4,0.5,1-Propanol,-145.5
56,0.5,0.5,1-Propanol,-214.69
57,0.5,0.5,1-Propanol,-177.3
58,0.6,0.5,1-Propanol,-250.83
59,0.6,0.5,1-Propanol,-207.99
60,0.2,0.5,1-Propanol,-76.28
61,0.2,0.5,1-Propanol,-64.53
62,0.3,0.5,1-Propanol,-123.4
63,0.3,0.5,1-Propanol,-103.06
64,0.4,0.5,1-Propanol,-174.74
65,0.4,0.5,1-Propanol,-144.98
66,0.5,0.5,1-Propanol,-206.75
67,0.5,0.5,1-Propanol,-170.68
68,0.6,0.5,1-Propanol,-240.14
69,0.6,0.5,1-Propanol,-200.05
70,0.2,0.5,1-Propanol,-76.96
71,0.2,0.5,1-Propanol,-65.37
72,0.3,0.5,1-Propanol,-124.5
73,0.3,0.5,1-Propanol,-103.87
74,0.4,0.5,1-Propanol,-169.93
75,0.4,0.5,1-Propanol,-140.56
76,0.5,0.5,1-Propanol,-200.89
77,0.5,0.5,1-Propanol,-165.88
78,0.6,0.5,1-Propanol,-232.82
79,0.6,0.5,1-Propanol,-194.7
80,0.2,0.5,1-Propanol,-78.29
81,0.2,0.5,1-Propanol,-66.49
82,0.3,0.5,1-Propanol,-125.78
83,0.3,0.5,1-Propanol,-104.77
84,0.4,0.5,1-Propanol,-165.42
85,0.4,0.5,1-Propanol,-136.17
86,0.5,0.5,1-Propanol,-196.1
