,Concentration,Readings,1-Octanol,1-Propanol,2-Butanol,2-propanol,1-isobutanol,Alcohol
0,0.2,-9.4,1,0,0,0,0,1-Octanol
1,0.2,-7.95,1,0,0,0,0,1-Octanol
2,0.3,-21.44,1,0,0,0,0,1-Octanol
3,0.3,-17.46,1,0,0,0,0,1-Octanol
4,0.4,-34.39,1,0,0,0,0,1-Octanol
5,0.4,-27.35,1,0,0,0,0,1-Octanol
6,0.5,-48.61,1,0,0,0,0,1-Octanol
7,0.5,-39.91,1,0,0,0,0,1-Octanol
8,0.6,-63.62,1,0,0,0,0,1-Octanol
9,0.6,-53.14,1,0,0,0,0,1-Octanol
10,0.2,-13.18,1,0,0,0,0,1-Octanol
11,0.2,-12.01,1,0,0,0,0,1-Octanol
12,0.3,-26.46,1,0,0,0,0,1-Octanol
13,0.3,-22.75,1,0,0,0,0,1-Octanol
14,0.4,-41.48,1,0,0,0,0,1-Octanol
15,0.4,-34.6,1,0,0,0,0,1-Octanol
16,0.5,-56.74,1,0,0,0,0,1-Octanol
17,0.5,-48.68,1,0,0,0,0,1-Octanol
18,0.6,-73.45,1,0,0,0,0,1-Octanol
19,0.6,-63.17,1,0,0,0,0,1-Octanol
20,0.2,-18.61,1,0,0,0,0,1-Octanol
21,0.2,-16.29,1,0,0,0,0,1-Octanol
22,0.3,-32.84,1,0,0,0,0,1-Octanol
23,0.3,-28.72,1,0,0,0,0,1-Octanol
24,0.4,-49.32,1,0,0,0,0,1-Octanol
25,0.4,-42.29,1,0,0,0,0,1-Octanol
26,0.5,-65.87,1,0,0,0,0,1-Octanol
27,0.5,-57.89,1,0,0,0,0,1-Octanol
28,0.6,-84.45,1,0,0,0,0,1-Octanol
29,0.6,-73.99,1,0,0,0,0,1-Octanol
30,0.2,-21.88,1,0,0,0,0,1-Octanol
31,0.2,-19.81,1,0,0,0,0,1-Octanol
32,0.3,-38.18,1,0,0,0,0,1-Octanol
33,0.3,-33.77,1,0,0,0,0,1-Octanol
34,0.4,-56.27,1,0,0,0,0,1-Octanol
35,0.4,-48.93,1,0,0,0,0,1-Octanol
36,0.5,-74.09,1,0,0,0,0,1-Octanol
37,0.5,-65.99,1,0,0,0,0,1-Octanol
38,0.6,-92.61,1,0,0,0,0,1-Octanol
39,0.6,-83.37,1,0,0,0,0,1-Octanol
40,0.2,-24.84,1,0,0,0,0,1-Octanol
41,0.2,-22.36,1,0,0,0,0,1-Octanol
42,0.3,-42.61,1,0,0,0,0,1-Octanol
43,0.3,-37.94,1,0,0,0,0,1-Octanol
44,0.4,-60.47,1,0,0,0,0,1-Octanol
45,0.4,-53.86,1,0,0,0,0,1-Octanol
46,0.5,-80.67,1,0,0,0,0,1-Octanol
47,0.5,-72.62,1,0,0,0,0,1-Octanol
48,0.6,-101.14,1,0,0,0,0,1-Octanol
49,0.6,-91.33,1,0,0,0,0,1-Octanol
50,0.2,-48.45,0,1,0,0,0,1-Propanol
51,0.2,-56.17,0,1,0,0,0,1-Propanol
52,0.3,-94.77,0,1,0,0,0,1-Propanol
53,0.3,-87.56,0,1,0,0,0,1-Propanol
54,0.4,-144.2,0,1,0,0,0,1-Propanol
55,0.4,-125.19,0,1,0,0,0,1-Propanol
56,0.5,-203.85,0,1,0,0,0,1-Propanol
57,0.5,-167.42,0,1,0,0,0,1-Propanol
58,0.6,-263.8,0,1,0,0,0,1-Propanol
59,0.6,-218.03,0,1,0,0,0,1-Propanol
60,0.2,-52.71,0,1,0,0,0,1-Propanol
61,0.2,-59.26,0,1,0,0,0,1-Propanol
62,0.3,-98.57,0,1,0,0,0,1-Propanol
63,0.3,-89.2,0,1,0,0,0,1-Propanol
64,0.4,-149.15,0,1,0,0,0,1-Propanol
65,0.4,-126.75,0,1,0,0,0,1-Propanol
66,0.5,-206.98,0,1,0,0,0,1-Propanol
67,0.5,-169.59,0,1,0,0,0,1-Propanol
68,0.6,-269.29,0,1,0,0,0,1-Propanol
69,0.6,-220.77,0,1,0,0,0,1-Propanol
70,0.2,-57.09,0,1,0,0,0,1-Propanol
71,0.2,-60.88,0,1,0,0,0,1-Propanol
72,0.3,-100.87,0,1,0,0,0,1-Propanol
73,0.3,-90.63,0,1,0,0,0,1-Propanol
74,0.4,-153.09,0,1,0,0,0,1-Propanol
75,0.4,-127.88,0,1,0,0,0,1-Propanol
76,0.5,-210.05,0,1,0,0,0,1-Propanol
77,0.5,-170.99,0,1,0,0,0,1-Propanol
78,0.6,-274.14,0,1,0,0,0,1-Propanol
79,0.6,-222.0,0,1,0,0,0,1-Propanol
80,0.2,-60.23,0,1,0,0,0,1-Propanol
81,0.2,-61.76,0,1,0,0,0,1-Propanol
82,0.3,-106.92,0,1,0,0,0,1-Propanol
83,0.3,-91.52,0,1,0,0,0,1-Propanol
84,0.4,-157.94,0,1,0,0,0,1-Propanol
85,0.4,-128.49,0,1,0,0,0,1-Propanol
86,0.5,-210.78,0,1,0,0,0,1-Propanol
87,0.5,-171.39,0,1,0,0,0,1-Propanol
88,0.6,-274.14,0,1,0,0,0,1-Propanol
89,0.6,-221.0,0,1,0,0,0,1-Propanol
90,0.2,-62.88,0,1,0,0,0,1-Propanol
91,0.2,-62.89,0,1,0,0,0,1-Propanol
92,0.3,-108.56,0,1,0,0,0,1-Propanol
93,0.3,-93.26,0,1,0,0,0,1-Propanol
94,0.4,-157.61,0,1,0,0,0,1-Propanol
95,0.4,-129.42,0,1,0,0,0,1-Propanol
96,0.5,-214.45,0,1,0,0,0,1-Propanol
97,0.5,-171.58,0,1,0,0,0,1-Propanol
98,0.6,-277.29,0,1,0,0,0,1-Propanol
99,0.6,-219.58,0,1,0,0,0,1-Propanol
100,0.2,-62.12,0,0,1,0,0,2-Butanol
101,0.2,-65.95,0,0,1,0,0,2-Butanol
102,0.3,-111.79,0,0,1,0,0,2-Butanol
103,0.3,-109.16,0,0,1,0,0,2-Butanol
104,0.4,-171.12,0,0,1,0,0,2-Butanol
105,0.4,-155.86,0,0,1,0,0,2-Butanol
106,0.5,-223.76,0,0,1,0,0,2-Butanol
107,0.5,-209.93,0,0,1,0,0,2-Butanol
108,0.6,-288.01,0,0,1,0,0,2-Butanol
109,0.6,-269.96,0,0,1,0,0,2-Butanol
110,0.2,-74.65,0,0,1,0,0,2-Butanol
111,0.2,-68.38,0,0,1,0,0,2-Butanol
112,0.3,-116.27,0,0,1,0,0,2-Butanol
113,0.3,-109.51,0,0,1,0,0,2-Butanol
114,0.4,-173.44,0,0,1,0,0,2-Butanol
115,0.4,-157.52,0,0,1,0,0,2-Butanol
116,0.5,-228.82,0,0,1,0,0,2-Butanol
117,0.5,-212.0,0,0,1,0,0,2-Butanol
118,0.6,-292.81,0,0,1,0,0,2-Butanol
119,0.6,-272.04,0,0,1,0,0,2-Butanol
120,0.2,-80.61,0,0,1,0,0,2-Butanol
121,0.2,-69.71,0,0,1,0,0,2-Butanol
122,0.3,-119.26,0,0,1,0,0,2-Butanol
123,0.3,-110.41,0,0,1,0,0,2-Butanol
124,0.4,-175.38,0,0,1,0,0,2-Butanol
125,0.4,-158.87,0,0,1,0,0,2-Butanol
126,0.5,-231.08,0,0,1,0,0,2-Butanol
127,0.5,-213.05,0,0,1,0,0,2-Butanol
128,0.6,-296.68,0,0,1,0,0,2-Butanol
129,0.6,-271.47,0,0,1,0,0,2-Butanol
130,0.2,-81.01,0,0,1,0,0,2-Butanol
131,0.2,-70.72,0,0,1,0,0,2-Butanol
132,0.3,-126.52,0,0,1,0,0,2-Butanol
133,0.3,-110.98,0,0,1,0,0,2-Butanol
134,0.4,-183.94,0,0,1,0,0,2-Butanol
135,0.4,-159.84,0,0,1,0,0,2-Butanol
136,0.5,-230.44,0,0,1,0,0,2-Butanol
137,0.5,-213.17,0,0,1,0,0,2-Butanol
138,0.6,-294.04,0,0,1,0,0,2-Butanol
139,0.6,-269.0,0,0,1,0,0,2-Butanol
140,0.2,-86.34,0,0,1,0,0,2-Butanol
141,0.2,-71.04,0,0,1,0,0,2-Butanol
142,0.3,-129.71,0,0,1,0,0,2-Butanol
143,0.3,-112.33,0,0,1,0,0,2-Butanol
144,0.4,-182.08,0,0,1,0,0,2-Butanol
145,0.4,-160.74,0,0,1,0,0,2-Butanol
146,0.5,-229.94,0,0,1,0,0,2-Butanol
147,0.5,-211.24,0,0,1,0,0,2-Butanol
148,0.6,-294.2,0,0,1,0,0,2-Butanol
149,0.6,-266.83,0,0,1,0,0,2-Butanol
150,0.2,-60.65,0,0,0,1,0,2-propanol
151,0.2,-56.38,0,0,0,1,0,2-propanol
152,0.3,-105.31,0,0,0,1,0,2-propanol
153,0.3,-86.28,0,0,0,1,0,2-propanol
154,0.4,-148.3,0,0,0,1,0,2-propanol
155,0.4,-117.76,0,0,0,1,0,2-propanol
156,0.5,-180.36,0,0,0,1,0,2-propanol
157,0.5,-137.76,0,0,0,1,0,2-propanol
158,0.6,-219.73,0,0,0,1,0,2-propanol
159,0.6,-164.51,0,0,0,1,0,2-propanol
160,0.2,-62.54,0,0,0,1,0,2-propanol
161,0.2,-56.68,0,0,0,1,0,2-propanol
162,0.3,-104.33,0,0,0,1,0,2-propanol
163,0.3,-85.74,0,0,0,1,0,2-propanol
164,0.4,-147.54,0,0,0,1,0,2-propanol
165,0.4,-114.04,0,0,0,1,0,2-propanol
166,0.5,-182.08,0,0,0,1,0,2-propanol
167,0.5,-133.1,0,0,0,1,0,2-propanol
168,0.6,-217.25,0,0,0,1,0,2-propanol
169,0.6,-159.49,0,0,0,1,0,2-propanol
170,0.2,-66.37,0,0,0,1,0,2-propanol
171,0.2,-57.25,0,0,0,1,0,2-propanol
172,0.3,-104.69,0,0,0,1,0,2-propanol
173,0.3,-85.93,0,0,0,1,0,2-propanol
174,0.4,-150.89,0,0,0,1,0,2-propanol
175,0.4,-109.68,0,0,0,1,0,2-propanol
176,0.5,-178.98,0,0,0,1,0,2-propanol
177,0.5,-129.79,0,0,0,1,0,2-propanol
178,0.6,-211.37,0,0,0,1,0,2-propanol
179,0.6,-155.89,0,0,0,1,0,2-propanol
180,0.2,-69.99,0,0,0,1,0,2-propanol
181,0.2,-57.49,0,0,0,1,0,2-propanol
182,0.3,-109.66,0,0,0,1,0,2-propanol
183,0.3,-86.03,0,0,0,1,0,2-propanol
184,0.4,-149.9,0,0,0,1,0,2-propanol
185,0.4,-106.5,0,0,0,1,0,2-propanol
186,0.5,-186.32,0,0,0,1,0,2-propanol
187,0.5,-127.54,0,0,0,1,0,2-propanol
188,0.6,-213.69,0,0,0,1,0,2-propanol
189,0.6,-153.26,0,0,0,1,0,2-propanol
190,0.2,-69.99,0,0,0,1,0,2-propanol
191,0.2,-58.49,0,0,0,1,0,2-propanol
192,0.3,-110.79,0,0,0,1,0,2-propanol
193,0.3,-86.69,0,0,0,1,0,2-propanol
194,0.4,-153.44,0,0,0,1,0,2-propanol
195,0.4,-104.72,0,0,0,1,0,2-propanol
196,0.5,-183.04,0,0,0,1,0,2-propanol
197,0.5,-126.16,0,0,0,1,0,2-propanol
198,0.6,-210.51,0,0,0,1,0,2-propanol
199,0.6,-150.14,0,0,0,1,0,2-propanol
200,0.2,-54.35,0,0,0,0,1,1-isobutanol
201,0.2,-56.09,0,0,0,0,1,1-isobutanol
202,0.3,-88.23,0,0,0,0,1,1-isobutanol
203,0.3,-90.54,0,0,0,0,1,1-isobutanol
204,0.4,-128.65,0,0,0,0,1,1-isobutanol
205,0.4,-132.19,0,0,0,0,1,1-isobutanol
206,0.5,-173.71,0,0,0,0,1,1-isobutanol
207,0.5,-179.36,0,0,0,0,1,1-isobutanol
