,Concentration,Alcohol,QCM3,QCM6,QCM7,QCM10,QCM12
0,0.2,1-Octanol,-10.06,-11.82,-11.23,-11.98,-9.4
1,0.2,1-Octanol,-10.62,-13.29,-14.21,-10.99,-7.95
2,0.3,1-Octanol,-14.43,-19.32,-18.71,-19.12,-21.44
3,0.3,1-Octanol,-18.31,-26.28,-22.65,-17.28,-17.46
4,0.4,1-Octanol,-24.64,-38.14,-27.32,-33.13,-34.39
5,0.4,1-Octanol,-30.56,-50.09,-32.39,-28.45,-27.35
6,0.5,1-Octanol,-38.62,-59.78,-35.28,-48.83,-48.61
7,0.5,1-Octanol,-45.59,-75.04,-40.72,-40.77,-39.91
8,0.6,1-Octanol,-54.89,-85.63,-40.63,-62.49,-63.62
9,0.6,1-Octanol,-62.28,-104.66,-49.87,-50.82,-53.14
10,0.2,1-Octanol,-9.69,-11.54,-12.44,-12.15,-13.18
11,0.2,1-Octanol,-10.86,-14.18,-15.44,-11.33,-12.01
12,0.3,1-Octanol,-16.73,-25.35,-21.13,-22.33,-26.46
13,0.3,1-Octanol,-21.75,-32.75,-25.53,-19.95,-22.75
14,0.4,1-Octanol,-28.47,-48.77,-30.45,-39.82,-41.48
15,0.4,1-Octanol,-35.83,-60.08,-36.22,-33.64,-34.6
16,0.5,1-Octanol,-43.65,-75.41,-36.85,-56.9,-56.74
17,0.5,1-Octanol,-52.43,-89.72,-45.11,-46.77,-48.68
18,0.6,1-Octanol,-61.92,-104.25,-45.4,-73.32,-73.45
19,0.6,1-Octanol,-71.27,-121.9,-55.16,-58.96,-63.17
20,0.2,1-Octanol,-12.07,-12.45,-13.75,-12.58,-18.61
21,0.2,1-Octanol,-14.28,-15.81,-16.72,-11.74,-16.29
22,0.3,1-Octanol,-21.54,-33.33,-24.0,-26.67,-32.84
23,0.3,1-Octanol,-27.92,-40.64,-28.29,-23.34,-28.72
24,0.4,1-Octanol,-35.19,-61.5,-33.91,-46.48,-49.32
25,0.4,1-Octanol,-43.94,-72.12,-39.95,-38.69,-42.29
26,0.5,1-Octanol,-52.04,-91.75,-40.96,-65.95,-65.87
27,0.5,1-Octanol,-62.49,-104.67,-49.43,-53.46,-57.89
28,0.6,1-Octanol,-71.97,-124.21,-49.91,-84.53,-84.45
29,0.6,1-Octanol,-83.1,-139.76,-60.11,-67.21,-73.99
30,0.2,1-Octanol,-14.21,-14.67,-15.05,-13.79,-21.88
31,0.2,1-Octanol,-17.41,-18.49,-17.98,-12.82,-19.81
32,0.3,1-Octanol,-25.91,-40.56,-26.42,-30.56,-38.18
33,0.3,1-Octanol,-33.36,-47.67,-30.65,-26.18,-33.77
34,0.4,1-Octanol,-41.29,-72.11,-36.56,-52.3,-56.27
35,0.4,1-Octanol,-51.27,-82.19,-43.0,-42.98,-48.93
36,0.5,1-Octanol,-59.94,-106.26,-43.81,-73.81,-74.09
